id,playerName,position,age,games,gamesStarted,minutesPg,fieldGoals,fieldAttempts,fieldPercent,threeFg,threeAttempts,threePercent,twoFg,twoAttempts,twoPercent,effectFgPercent,ft,ftAttempts,ftPercent,offensiveRb,defensiveRb,totalRb,assists,steals,blocks,turnovers,personalFouls,points,team,season,playerId
18605,Max Strus,SF,27,70,70,2239,304,728,0.418,168,479,0.351,136,249,0.546,0.533,77,97,0.794,66,272,338,283,64,29,112,170,853,CLE,2024,strusma01
18606,Jalen Suggs,SG,22,75,75,2025,336,714,0.471,153,385,0.397,183,329,0.556,0.578,118,156,0.756,48,181,229,205,106,47,132,205,943,ORL,2024,suggsja01
18607,Cole Swider,SF,24,18,0,87,15,38,0.395,10,30,0.333,5,8,0.625,0.526,2,2,1,1,6,7,5,1,1,8,4,42,MIA,2024,swideco01
18608,Jae'Sean Tate,SF,28,65,9,1031,108,229,0.472,23,77,0.299,85,152,0.559,0.522,26,39,0.667,61,136,197,64,42,15,37,137,265,HOU,2024,tateja01
18609,Jayson Tatum,PF,25,74,74,2645,672,1426,0.471,229,609,0.376,443,817,0.542,0.552,414,497,0.833,67,534,601,364,75,43,188,145,1987,BOS,2024,tatumja01
18610,Terry Taylor,PF,24,31,0,188,20,39,0.513,2,9,0.222,18,30,0.6,0.538,4,5,0.8,17,20,37,10,5,2,7,17,46,CHI,2024,taylote01
18611,Garrett Temple,SG,37,27,2,289,29,78,0.372,12,40,0.3,17,38,0.447,0.449,18,22,0.818,18,27,45,28,12,3,14,28,88,TOR,2024,templga01
18612,Dalen Terry,SG,21,59,2,681,69,157,0.439,17,74,0.23,52,83,0.627,0.494,25,43,0.581,29,84,113,81,27,18,32,81,180,CHI,2024,terryda01
18613,Daniel Theis,C,31,60,3,1015,156,293,0.532,26,71,0.366,130,222,0.586,0.577,38,50,0.76,85,159,244,61,21,51,42,127,376,TOT,2024,theisda01
18614,Daniel Theis,C,31,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,0,0,0,0,0,0,0,1,2,IND,2024,theisda01
18615,Daniel Theis,C,31,59,3,1007,155,289,0.536,26,70,0.371,129,219,0.589,0.581,38,50,0.76,85,159,244,61,21,51,42,126,374,LAC,2024,theisda01
18616,Cam Thomas,SG,22,66,51,2075,526,1190,0.442,144,396,0.364,382,794,0.481,0.503,286,334,0.856,28,186,214,192,45,16,124,138,1482,BRK,2024,thomaca02
18617,Isaiah Thomas,PG,34,6,0,19,3,10,0.3,2,4,0.5,1,6,0.167,0.4,0,0,,0,0,0,3,0,0,0,0,8,PHO,2024,thomais02
18618,Amen Thompson,SF,21,62,23,1388,239,446,0.536,8,58,0.138,231,388,0.595,0.545,106,155,0.684,148,261,409,163,78,38,90,141,592,HOU,2024,thompam01
18619,Ausar Thompson,SF,21,63,38,1583,232,480,0.483,21,113,0.186,211,367,0.575,0.505,71,119,0.597,129,273,402,120,68,59,84,175,556,DET,2024,thompau01
18620,Klay Thompson,SF,33,77,63,2284,490,1133,0.432,268,692,0.387,222,441,0.503,0.551,127,137,0.927,35,219,254,176,50,35,117,127,1375,GSW,2024,thompkl01
18621,Tristan Thompson,C,32,49,0,549,73,120,0.608,0,1,0,73,119,0.613,0.608,15,52,0.288,73,101,174,51,12,14,29,59,161,CLE,2024,thomptr01
18622,JT Thor,PF,21,63,3,781,80,183,0.437,28,81,0.346,52,102,0.51,0.514,11,20,0.55,43,103,146,29,11,27,15,60,199,CHO,2024,thorjt01
18623,Matisse Thybulle,SF,26,65,19,1487,126,317,0.397,80,231,0.346,46,86,0.535,0.524,22,29,0.759,30,106,136,90,113,49,40,93,354,POR,2024,thybuma01
18624,Xavier Tillman Sr.,C-PF,25,54,15,974,121,279,0.434,20,81,0.247,101,198,0.51,0.47,22,50,0.44,70,141,211,77,51,44,34,75,284,TOT,2024,tillmxa01
18625,Xavier Tillman Sr.,C,25,34,13,700,87,213,0.408,12,53,0.226,75,160,0.469,0.437,18,43,0.419,56,101,157,57,42,35,29,60,204,MEM,2024,tillmxa01
18626,Xavier Tillman Sr.,PF,25,20,2,274,34,66,0.515,8,28,0.286,26,38,0.684,0.576,4,7,0.571,14,40,54,20,9,9,5,15,80,BOS,2024,tillmxa01
18627,Jacob Toppin,SF,23,9,0,38,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1,3,4,7,3,0,1,1,3,13,NYK,2024,toppija01
18628,Obi Toppin,PF,25,82,28,1730,332,579,0.573,102,253,0.403,230,326,0.706,0.661,77,100,0.77,85,235,320,128,47,43,69,143,843,IND,2024,toppiob01
18629,Juan Toscano-Anderson,SF,30,11,0,53,3,12,0.25,1,4,0.25,2,8,0.25,0.292,0,0,,4,10,14,4,1,1,2,11,7,SAC,2024,toscaju01
18630,Karl-Anthony Towns,PF,28,62,62,2026,479,951,0.504,136,327,0.416,343,624,0.55,0.575,255,292,0.873,94,421,515,189,43,41,177,204,1349,MIN,2024,townska01
18631,Gary Trent Jr.,SG,25,71,41,1994,361,847,0.426,178,453,0.393,183,394,0.464,0.531,74,96,0.771,25,163,188,119,77,10,47,96,974,TOR,2024,trentga02
18632,Oscar Tshiebwe,PF,24,8,0,42,10,20,0.5,0,0,,10,20,0.5,0.5,6,8,0.75,8,8,16,2,2,1,0,3,26,IND,2024,tshieos01
18633,P.J. Tucker,PF,38,31,10,486,18,50,0.36,13,35,0.371,5,15,0.333,0.49,3,3,1,28,57,85,16,16,7,8,54,52,TOT,2024,tuckepj01
18634,P.J. Tucker,PF,38,3,3,66,2,5,0.4,2,5,0.4,0,0,,0.6,0,0,,1,13,14,0,3,2,2,9,6,PHI,2024,tuckepj01
18635,P.J. Tucker,PF,38,28,7,420,16,45,0.356,11,30,0.367,5,15,0.333,0.478,3,3,1,27,44,71,16,13,5,6,45,46,LAC,2024,tuckepj01
18636,Myles Turner,C,27,77,77,2076,476,909,0.524,116,324,0.358,360,585,0.615,0.587,245,317,0.773,113,420,533,100,39,144,109,232,1313,IND,2024,turnemy01
